car_name,model_year,origin,cylinders,displacement,horsepower,weight,acceleration,mpg
dodge aspen se,76,1,6,225.0,100.0,3651.0,17.7,20.0
ford granada ghia,76,1,6,250.0,78.0,3574.0,21.0,18.0
pontiac ventura sj,76,1,6,250.0,110.0,3645.0,16.2,18.5
amc pacer d/l,76,1,6,258.0,95.0,3193.0,17.8,17.5
volkswagen rabbit,76,2,4,97.0,71.0,1825.0,12.2,29.5
datsun b-210,76,3,4,85.0,70.0,1990.0,17.0,32.0
toyota corolla,76,3,4,97.0,75.0,2155.0,16.4,28.0
ford pinto,76,1,4,140.0,72.0,2565.0,13.6,26.5
volvo 245,76,2,4,130.0,102.0,3150.0,15.7,20.0
plymouth volare premier v8,76,1,8,318.0,150.0,3940.0,13.2,13.0
peugeot 504,76,2,4,120.0,88.0,3270.0,21.9,19.0
toyota mark ii,76,3,6,156.0,108.0,2930.0,15.5,19.0
mercedes-benz 280s,76,2,6,168.0,120.0,3820.0,16.7,16.5
cadillac seville,76,1,8,350.0,180.0,4380.0,12.1,16.5
chevy c10,76,1,8,350.0,145.0,4055.0,12.0,13.0
ford f108,76,1,8,302.0,130.0,3870.0,15.0,13.0
dodge d100,76,1,8,318.0,150.0,3755.0,14.0,13.0
honda accord cvcc,77,3,4,98.0,68.0,2045.0,18.5,31.5
buick opel isuzu deluxe,77,1,4,111.0,80.0,2155.0,14.8,30.0
renault 5 gtl,77,2,4,79.0,58.0,1825.0,18.6,36.0
plymouth arrow gs,77,1,4,122.0,96.0,2300.0,15.5,25.5
datsun f-10 hatchback,77,3,4,85.0,70.0,1945.0,16.8,33.5
chevrolet caprice classic,77,1,8,305.0,145.0,3880.0,12.5,17.5
oldsmobile cutlass supreme,77,1,8,260.0,110.0,4060.0,19.0,17.0
dodge monaco brougham,77,1,8,318.0,145.0,4140.0,13.7,15.5
mercury cougar brougham,77,1,8,302.0,130.0,4295.0,14.9,15.0
chevrolet concours,77,1,6,250.0,110.0,3520.0,16.4,17.5
buick skylark,77,1,6,231.0,105.0,3425.0,16.9,20.5
plymouth volare custom,77,1,6,225.0,100.0,3630.0,17.7,19.0
ford granada,77,1,6,250.0,98.0,3525.0,19.0,18.5
pontiac grand prix lj,77,1,8,400.0,180.0,4220.0,11.1,16.0
chevrolet monte carlo landau,77,1,8,350.0,170.0,4165.0,11.4,15.5
chrysler cordoba,77,1,8,400.0,190.0,4325.0,12.2,15.5
ford thunderbird,77,1,8,351.0,149.0,4335.0,14.5,16.0
volkswagen rabbit custom,77,2,4,97.0,78.0,1940.0,14.5,29.0
pontiac sunbird coupe,77,1,4,151.0,88.0,2740.0,16.0,24.5
toyota corolla liftback,77,3,4,97.0,75.0,2265.0,18.2,26.0
ford mustang ii 2+2,77,1,4,140.0,89.0,2755.0,15.8,25.5
chevrolet chevette,77,1,4,98.0,63.0,2051.0,17.0,30.5
dodge colt m/m,77,1,4,98.0,83.0,2075.0,15.9,33.5
subaru dl,77,3,4,97.0,67.0,1985.0,16.4,30.0
volkswagen dasher,77,2,4,97.0,78.0,2190.0,14.1,30.5
datsun 810,77,3,6,146.0,97.0,2815.0,14.5,22.0
bmw 320i,77,2,4,121.0,110.0,2600.0,12.8,21.5
mazda rx-4,77,3,3,80.0,110.0,2720.0,13.5,21.5
volkswagen rabbit custom diesel,78,2,4,90.0,48.0,1985.0,21.5,43.1
ford fiesta,78,1,4,98.0,66.0,1800.0,14.4,36.1
mazda glc deluxe,78,3,4,78.0,52.0,1985.0,19.4,32.8
datsun b210 gx,78,3,4,85.0,70.0,2070.0,18.6,39.4
honda civic cvcc,78,3,4,91.0,60.0,1800.0,16.4,36.1
oldsmobile cutlass salon brougham,78,1,8,260.0,110.0,3365.0,15.5,19.9
dodge diplomat,78,1,8,318.0,140.0,3735.0,13.2,19.4
mercury monarch ghia,78,1,8,302.0,139.0,3570.0,12.8,20.2
pontiac phoenix lj,78,1,6,231.0,105.0,3535.0,19.2,19.2
chevrolet malibu,78,1,6,200.0,95.0,3155.0,18.2,20.5
ford fairmont (auto),78,1,6,200.0,85.0,2965.0,15.8,20.2
ford fairmont (man),78,1,4,140.0,88.0,2720.0,15.4,25.1
plymouth volare,78,1,6,225.0,100.0,3430.0,17.2,20.5
amc concord,78,1,6,232.0,90.0,3210.0,17.2,19.4
buick century special,78,1,6,231.0,105.0,3380.0,15.8,20.6
mercury zephyr,78,1,6,200.0,85.0,3070.0,16.7,20.8
dodge aspen,78,1,6,225.0,110.0,3620.0,18.7,18.6
amc concord d/l,78,1,6,258.0,120.0,3410.0,15.1,18.1
chevrolet monte carlo landau,78,1,8,305.0,145.0,3425.0,13.2,19.2
buick regal sport coupe (turbo),78,1,6,231.0,165.0,3445.0,13.4,17.7
ford futura,78,1,8,302.0,139.0,3205.0,11.2,18.1
dodge magnum xe,78,1,8,318.0,140.0,4080.0,13.7,17.5
chevrolet chevette,78,1,4,98.0,68.0,2155.0,16.5,30.0
toyota corona,78,3,4,134.0,95.0,2560.0,14.2,27.5
datsun 510,78,3,4,119.0,97.0,2300.0,14.7,27.2
dodge omni,78,1,4,105.0,75.0,2230.0,14.5,30.9
toyota celica gt liftback,78,3,4,134.0,95.0,2515.0,14.8,21.1
plymouth sapporo,78,1,4,156.0,105.0,2745.0,16.7,23.2
oldsmobile starfire sx,78,1,4,151.0,85.0,2855.0,17.6,23.8
datsun 200-sx,78,3,4,119.0,97.0,2405.0,14.9,23.9
audi 5000,78,2,5,131.0,103.0,2830.0,15.9,20.3
volvo 264gl,78,2,6,163.0,125.0,3140.0,13.6,17.0
saab 99gle,78,2,4,121.0,115.0,2795.0,15.7,21.6
peugeot 604sl,78,2,6,163.0,133.0,3410.0,15.8,16.2
volkswagen scirocco,78,2,4,89.0,71.0,1990.0,14.9,31.5
honda accord lx,78,3,4,98.0,68.0,2135.0,16.6,29.5
pontiac lemans v6,79,1,6,231.0,115.0,3245.0,15.4,21.5
mercury zephyr 6,79,1,6,200.0,85.0,2990.0,18.2,19.8
ford fairmont 4,79,1,4,140.0,88.0,2890.0,17.3,22.3
amc concord dl 6,79,1,6,232.0,90.0,3265.0,18.2,20.2
dodge aspen 6,79,1,6,225.0,110.0,3360.0,16.6,20.6
chevrolet caprice classic,79,1,8,305.0,130.0,3840.0,15.4,17.0
ford ltd landau,79,1,8,302.0,129.0,3725.0,13.4,17.6
mercury grand marquis,79,1,8,351.0,138.0,3955.0,13.2,16.5
dodge st. regis,79,1,8,318.0,135.0,3830.0,15.2,18.2
buick estate wagon (sw),79,1,8,350.0,155.0,4360.0,14.9,16.9
ford country squire (sw),79,1,8,351.0,142.0,4054.0,14.3,15.5
chevrolet malibu classic (sw),79,1,8,267.0,125.0,3605.0,15.0,19.2
chrysler lebaron town @ country (sw),79,1,8,360.0,150.0,3940.0,13.0,18.5
vw rabbit custom,79,2,4,89.0,71.0,1925.0,14.0,31.9
maxda glc deluxe,79,3,4,86.0,65.0,1975.0,15.2,34.1
dodge colt hatchback custom,79,1,4,98.0,80.0,1915.0,14.4,35.7
amc spirit dl,79,1,4,121.0,80.0,2670.0,15.0,27.4
mercedes benz 300d,79,2,5,183.0,77.0,3530.0,20.1,25.4
cadillac eldorado,79,1,8,350.0,125.0,3900.0,17.4,23.0
peugeot 504,79,2,4,141.0,71.0,3190.0,24.8,27.2
oldsmobile cutlass salon brougham,79,1,8,260.0,90.0,3420.0,22.2,23.9
plymouth horizon,79,1,4,105.0,70.0,2200.0,13.2,34.2
plymouth horizon tc3,79,1,4,105.0,70.0,2150.0,14.9,34.5
datsun 210,79,3,4,85.0,65.0,2020.0,19.2,31.8
fiat strada custom,79,2,4,91.0,69.0,2130.0,14.7,37.3
buick skylark limited,79,1,4,151.0,90.0,2670.0,16.0,28.4
chevrolet citation,79,1,6,173.0,115.0,2595.0,11.3,28.8
oldsmobile omega brougham,79,1,6,173.0,115.0,2700.0,12.9,26.8
pontiac phoenix,79,1,4,151.0,90.0,2556.0,13.2,33.5
vw rabbit,80,2,4,98.0,76.0,2144.0,14.7,41.5
toyota corolla tercel,80,3,4,89.0,60.0,1968.0,18.8,38.1
chevrolet chevette,80,1,4,98.0,70.0,2120.0,15.5,32.1
datsun 310,80,3,4,86.0,65.0,2019.0,16.4,37.2
chevrolet citation,80,1,4,151.0,90.0,2678.0,16.5,28.0
ford fairmont,80,1,4,140.0,88.0,2870.0,18.1,26.4
amc concord,80,1,4,151.0,90.0,3003.0,20.1,24.3
dodge aspen,80,1,6,225.0,90.0,3381.0,18.7,19.1
audi 4000,80,2,4,97.0,78.0,2188.0,15.8,34.3
toyota corona liftback,80,3,4,134.0,90.0,2711.0,15.5,29.8
mazda 626,80,3,4,120.0,75.0,2542.0,17.5,31.3
datsun 510 hatchback,80,3,4,119.0,92.0,2434.0,15.0,37.0
toyota corolla,80,3,4,108.0,75.0,2265.0,15.2,32.2
mazda glc,80,3,4,86.0,65.0,2110.0,17.9,46.6
dodge colt,80,1,4,156.0,105.0,2800.0,14.4,27.9
datsun 210,80,3,4,85.0,65.0,2110.0,19.2,40.8
vw rabbit c (diesel),80,2,4,90.0,48.0,2085.0,21.7,44.3
vw dasher (diesel),80,2,4,90.0,48.0,2335.0,23.7,43.4
audi 5000s (diesel),80,2,5,121.0,67.0,2950.0,19.9,36.4
mercedes-benz 240d,80,2,4,146.0,67.0,3250.0,21.8,30.0
honda civic 1500 gl,80,3,4,91.0,67.0,1850.0,13.8,44.6
renault lecar deluxe,80,2,4,85.0,,1835.0,17.3,40.9
subaru dl,80,3,4,97.0,67.0,2145.0,18.0,33.8
vokswagen rabbit,80,2,4,89.0,62.0,1845.0,15.3,29.8
datsun 280-zx,80,3,6,168.0,132.0,2910.0,11.4,32.7
mazda rx-7 gs,80,3,3,70.0,100.0,2420.0,12.5,23.7
triumph tr7 coupe,80,2,4,122.0,88.0,2500.0,15.1,35.0
ford mustang cobra,80,1,4,140.0,,2905.0,14.3,23.6
honda accord,80,3,4,107.0,72.0,2290.0,17.0,32.4
plymouth reliant,81,1,4,135.0,84.0,2490.0,15.7,27.2
buick skylark,81,1,4,151.0,84.0,2635.0,16.4,26.6
dodge aries wagon (sw),81,1,4,156.0,92.0,2620.0,14.4,25.8
chevrolet citation,81,1,6,173.0,110.0,2725.0,12.6,23.5
plymouth reliant,81,1,4,135.0,84.0,2385.0,12.9,30.0
toyota starlet,81,3,4,79.0,58.0,1755.0,16.9,39.1
plymouth champ,81,1,4,86.0,64.0,1875.0,16.4,39.0
honda civic 1300,81,3,4,81.0,60.0,1760.0,16.1,35.1
subaru,81,3,4,97.0,67.0,2065.0,17.8,32.3
datsun 210 mpg,81,3,4,85.0,65.0,1975.0,19.4,37.0
toyota tercel,81,3,4,89.0,62.0,2050.0,17.3,37.7
mazda glc 4,81,3,4,91.0,68.0,1985.0,16.0,34.1
plymouth horizon 4,81,1,4,105.0,63.0,2215.0,14.9,34.7
ford escort 4w,81,1,4,98.0,65.0,2045.0,16.2,34.4
ford escort 2h,81,1,4,98.0,65.0,2380.0,20.7,29.9
volkswagen jetta,81,2,4,105.0,74.0,2190.0,14.2,33.0
renault 18i,81,2,4,100.0,,2320.0,15.8,34.5
honda prelude,81,3,4,107.0,75.0,2210.0,14.4,33.7
toyota corolla,81,3,4,108.0,75.0,2350.0,16.8,32.4
datsun 200sx,81,3,4,119.0,100.0,2615.0,14.8,32.9
mazda 626,81,3,4,120.0,74.0,2635.0,18.3,31.6
peugeot 505s turbo diesel,81,2,4,141.0,80.0,3230.0,20.4,28.1
volvo diesel,81,2,6,145.0,76.0,3160.0,19.6,30.7
toyota cressida,81,3,6,168.0,116.0,2900.0,12.6,25.4
datsun 810 maxima,81,3,6,146.0,120.0,2930.0,13.8,24.2
buick century,81,1,6,231.0,110.0,3415.0,15.8,22.4
oldsmobile cutlass ls,81,1,8,350.0,105.0,3725.0,19.0,26.6
ford granada gl,81,1,6,200.0,88.0,3060.0,17.1,20.2
chrysler lebaron salon,81,1,6,225.0,85.0,3465.0,16.6,17.6
chevrolet cavalier,82,1,4,112.0,88.0,2605.0,19.6,28.0
chevrolet cavalier wagon,82,1,4,112.0,88.0,2640.0,18.6,27.0
chevrolet cavalier 2-door,82,1,4,112.0,88.0,2395.0,18.0,34.0
pontiac j2000 se hatchback,82,1,4,112.0,85.0,2575.0,16.2,31.0
dodge aries se,82,1,4,135.0,84.0,2525.0,16.0,29.0
pontiac phoenix,82,1,4,151.0,90.0,2735.0,18.0,27.0
ford fairmont futura,82,1,4,140.0,92.0,2865.0,16.4,24.0
amc concord dl,82,1,4,151.0,,3035.0,20.5,23.0
volkswagen rabbit l,82,2,4,105.0,74.0,1980.0,15.3,36.0
mazda glc custom l,82,3,4,91.0,68.0,2025.0,18.2,37.0
mazda glc custom,82,3,4,91.0,68.0,1970.0,17.6,31.0
plymouth horizon miser,82,1,4,105.0,63.0,2125.0,14.7,38.0
mercury lynx l,82,1,4,98.0,70.0,2125.0,17.3,36.0
nissan stanza xe,82,3,4,120.0,88.0,2160.0,14.5,36.0
honda accord,82,3,4,107.0,75.0,2205.0,14.5,36.0
toyota corolla,82,3,4,108.0,70.0,2245.0,16.9,34.0
honda civic,82,3,4,91.0,67.0,1965.0,15.0,38.0
honda civic (auto),82,3,4,91.0,67.0,1965.0,15.7,32.0
datsun 310 gx,82,3,4,91.0,67.0,1995.0,16.2,38.0
buick century limited,82,1,6,181.0,110.0,2945.0,16.4,25.0
oldsmobile cutlass ciera (diesel),82,1,6,262.0,85.0,3015.0,17.0,38.0
chrysler lebaron medallion,82,1,4,156.0,92.0,2585.0,14.5,26.0
ford granada l,82,1,6,232.0,112.0,2835.0,14.7,22.0
toyota celica gt,82,3,4,144.0,96.0,2665.0,13.9,32.0
dodge charger 2.2,82,1,4,135.0,84.0,2370.0,13.0,36.0
chevrolet camaro,82,1,4,151.0,90.0,2950.0,17.3,27.0
ford mustang gl,82,1,4,140.0,86.0,2790.0,15.6,27.0
vw pickup,82,2,4,97.0,52.0,2130.0,24.6,44.0
dodge rampage,82,1,4,135.0,84.0,2295.0,11.6,32.0
ford ranger,82,1,4,120.0,79.0,2625.0,18.6,28.0
chevy s-10,82,1,4,119.0,82.0,2720.0,19.4,31.0
